TimeBlock,AveragePackets,AveragePacketsperDevice,AverageConnections,AverageConnectionsperDevice,AverageThroughputperDevice,MaxThroughputperDevice,ActiveDevices(IP),ConnectedDevices(MAC),AveragePacketSize,ActiveConnections,RatioTIME_WAIT/ESTABLISHED,MaxTCPConnections,MaxUDPConnections,TimeSinceLastTCPConnection,TimeSinceLastUDPConnection,AverageTCPSessionDuration,AverageUDPSessionDuration,TimeSinceLastPacket,DeviceScreenState
12,6.5,6.5,0.066666667,0.066666667,850.2333333,850.2333333,1,1,4.36017094,2,0,0,0,645,660,14460,0,60,0
12,6.5,6.5,0.066666667,0.066666667,850.2333333,850.2333333,1,1,4.36017094,2,0,0,0,660,675,14490,0,75,0
12,6.6,6.6,0.066666667,0.066666667,856.2333333,856.2333333,1,1,4.324410774,2,0,0,0,675,690,14520,0,15,0
12,6.6,6.6,0.066666667,0.066666667,856.2333333,856.2333333,1,1,4.324410774,2,0,0,0,690,705,14550,0,30,0
12,76.8,38.4,1.033333333,0.516666667,33277.81667,66555.63333,2,2,28.88699363,33,0.606060606,17,14,0,0,1561.578947,68020.71429,15,0
12,188.2,94.1,1.033333333,0.516666667,111853.9,223707.8,3,2,39.62235211,33,0.727272727,8,5,0,0,15,15,15,1
12,182.4,91.2,1.1,0.55,110002.85,220005.7,3,2,40.20572003,35,0.828571429,8,4,0,0,30,15,15,1
12,230.9,115.45,1.533333333,0.766666667,136975.6667,273951.3333,3,2,39.54833742,48,0.604166667,12,5,0,0,838.4210526,15,15,1
12,187.3,93.65,1.333333333,0.666666667,114109.8333,228219.6667,3,2,40.61570861,42,0.285714286,2,0,0,15,30,33.75,15,1
12,187.6333333,93.81666667,1.3,0.65,113962.4667,227924.9333,3,2,40.49119441,41,0.219512195,1,2,0,0,30,238042.5,15,1
12,189.5,94.75,1.233333333,0.616666667,114225.2333,228450.4667,3,2,40.18477866,39,0.179487179,0,1,15,0,60,15,15,1
12,140.0666667,70.03333333,0.833333333,0.416666667,85821.41667,171642.8333,3,2,40.84788989,27,0.444444444,0,0,30,15,57,37.5,15,1
12,31.63333333,15.81666667,0.5,0.25,9072.333333,18144.66667,2,2,19.1197752,17,0.764705882,0,0,45,30,103.125,75,15,1
12,27.46666667,13.73333333,0.466666667,0.233333333,7401.266667,14802.53333,2,2,17.96423948,16,0.875,3,0,0,45,115,60,15,1
12,28.1,14.05,0.433333333,0.216666667,7528.6,15057.2,2,2,17.86144721,15,0.866666667,0,0,15,60,75,330,15,1
12,30.76666667,15.38333333,0.466666667,0.233333333,8350.65,16701.3,2,2,18.09458288,16,1,2,2,0,0,140,38900,15,1
12,30.66666667,15.33333333,0.4,0.2,8215.316667,16430.63333,2,2,17.85938406,14,0.857142857,0,0,15,15,45,58155,15,1
12,22.56666667,11.28333333,0.366666667,0.183333333,5628.833333,11257.66667,2,2,16.62875431,13,0.769230769,0,0,30,30,2745,195,15,1
12,21.36666667,10.68333333,0.3,0.15,5068.516667,10137.03333,2,2,15.81440458,11,0.909090909,0,1,45,0,65,75,15,1
12,23.9,11.95,0.333333333,0.166666667,5411.016667,10822.03333,2,2,15.0934914,12,0.166666667,0,1,60,0,3676.666667,80,15,1
12,23.76666667,11.88333333,0.333333333,0.166666667,5208.816667,10417.63333,2,2,14.61098644,12,0.166666667,0,1,75,0,3706.666667,75,15,1
12,485.4666667,242.7333333,0.433333333,0.216666667,269058.5833,538117.1667,2,2,36.94844594,15,0.2,1,3,0,0,3366,15,15,1
12,62.56666667,31.28333333,0.4,0.2,23049.81667,46099.63333,2,2,24.56027349,14,0.142857143,0,0,15,15,3396,15,15,1
12,66.86666667,33.43333333,0.5,0.25,24085.51667,48171.03333,2,2,24.01347624,17,0.117647059,2,2,0,0,2860,75,15,1
12,262.2333333,131.1166667,1.333333333,0.666666667,121207.75,242415.5,2,2,30.81422397,42,0.047619048,5,21,0,0,2048.823529,15,15,1
12,309.4333333,154.7166667,0.666666667,0.333333333,158133.15,316266.3,2,2,34.06940644,22,0.090909091,3,0,0,15,25,19.5,15,1
12,438.9333333,219.4666667,0.666666667,0.333333333,232259.6667,464519.3333,2,2,35.27637708,22,0.090909091,0,0,15,30,2100,126,15,1
12,572.1,286.05,0.766666667,0.383333333,307348.35,614696.7,2,2,35.81522461,25,0.08,0,3,30,0,2130,108.75,15,1
