Time Block,Average Packets,Average Packets per Device,Average Connections,Average Connections per Device,Average Throughput per Device,Max Throughput per Device,Active Devices (IP),Connected Devices (MAC),Average Packet Size,Active Connections,Ratio TIME_WAIT/ESTABLISHED,Max TCP Connections,Max UDP Connections,Time Since Last TCP Connection,Time Since Last UDP Connection,Average TCP Session Duration,Average UDP Session Duration,Time Since Last Packet,Device Screen State
3,59.06666666666667,59.06666666666667,0.1333333333333333,0.1333333333333333,22925.83333333333,22925.83333333333,1,1,12.93782919488337,4,0.25,0,0,150.0,45.0,19755.0,2370.0,15.0,1
3,60.63333333333333,60.63333333333333,0.2666666666666666,0.2666666666666666,23327.666666666668,23327.666666666668,1,1,12.824445666116914,8,0.125,0,4,165.0,0.0,19785.0,5600.0,15.0,1
3,60.2,60.2,0.1333333333333333,0.1333333333333333,23396.033333333333,23396.033333333333,1,1,12.954614248800295,4,0.0,0,0,180.0,15.0,19815.0,3600.0,15.0,1
3,60.766666666666666,60.766666666666666,0.1333333333333333,0.1333333333333333,23630.6,23630.6,1,1,12.962479429511797,4,0.0,0,0,195.0,30.0,19845.0,2460.0,15.0,1
3,62.43333333333333,62.43333333333333,0.2666666666666666,0.2666666666666666,24041.266666666663,24041.266666666663,1,1,12.835700302544938,8,0.0,0,4,210.0,0.0,19875.0,5690.0,15.0,1
3,62.6,62.6,0.1666666666666666,0.1666666666666666,24486.9,24486.9,1,1,13.038817891373805,5,0.0,0,1,225.0,0.0,19905.0,3645.0,15.0,1
3,62.43333333333333,62.43333333333333,0.1333333333333333,0.1333333333333333,24344.2,24344.2,1,1,12.997437266417512,4,0.0,0,0,240.0,15.0,19935.0,15.0,15.0,1
3,63.0,63.0,0.1333333333333333,0.1333333333333333,24579.33333333333,24579.33333333333,1,1,13.00493827160494,4,0.0,0,0,255.0,30.0,19965.0,2580.0,15.0,1
3,64.56666666666666,64.56666666666666,0.2666666666666666,0.2666666666666666,24977.5,24977.5,1,1,12.89494062983996,8,0.0,0,4,270.0,0.0,19995.0,5810.0,15.0,1
3,64.1,64.1,0.1333333333333333,0.1333333333333333,25048.2,25048.2,1,1,13.025585023400936,4,0.0,0,0,285.0,15.0,20025.0,3705.0,15.0,1
3,64.66666666666667,64.66666666666667,0.1333333333333333,0.1333333333333333,25280.466666666667,25280.466666666667,1,1,13.031168384879726,4,0.0,0,0,300.0,30.0,20055.0,2670.0,15.0,1
3,65.23333333333333,65.23333333333333,0.1333333333333333,0.1333333333333333,25519.5,25519.5,1,1,13.040112416964742,4,0.0,0,0,315.0,45.0,20085.0,2700.0,15.0,1
3,66.8,66.8,0.2666666666666666,0.2666666666666666,25917.9,25917.9,1,1,12.93308383233533,8,0.0,0,4,330.0,0.0,20115.0,5930.0,15.0,1
3,66.33333333333333,66.33333333333333,0.1333333333333333,0.1333333333333333,25988.2,25988.2,1,1,13.059396984924623,4,0.0,0,0,345.0,15.0,20145.0,3765.0,15.0,1
3,67.3,67.3,0.1333333333333333,0.1333333333333333,26349.466666666667,26349.466666666667,1,1,13.050751196962192,4,0.0,0,0,360.0,30.0,20175.0,2790.0,15.0,1
3,68.63333333333334,68.63333333333334,0.1666666666666666,0.1666666666666666,26967.83333333333,26967.83333333333,1,1,13.097539258539744,5,0.0,0,1,375.0,0.0,20205.0,1890.0,15.0,1
3,73.26666666666667,73.26666666666667,0.4333333333333333,0.4333333333333333,28505.266666666663,28505.266666666663,1,1,12.96872914771004,13,0.0,5,4,0.0,0.0,5802.857142857143,15.0,15.0,1
3,72.7,72.7,0.3,0.3,28571.266666666663,28571.266666666663,1,1,13.100076417545468,9,0.0,0,0,15.0,15.0,5832.857142857143,3825.0,15.0,1
3,73.26666666666667,73.26666666666667,0.3,0.3,28806.166666666668,28806.166666666668,1,1,13.105626326963908,9,0.0,0,0,30.0,30.0,5862.857142857143,2910.0,15.0,1
3,72.26666666666667,72.26666666666667,0.2333333333333333,0.2333333333333333,28559.4,28559.4,1,1,13.173154981549816,7,0.0,0,0,45.0,45.0,45.0,2940.0,15.0,1
3,71.8,71.8,0.2666666666666666,0.2666666666666666,27941.733333333334,27941.733333333334,1,1,12.972021046115753,8,0.0,0,4,60.0,0.0,60.0,6170.0,15.0,1
3,71.23333333333333,71.23333333333333,0.1333333333333333,0.1333333333333333,28006.2,28006.2,1,1,13.10538137576041,4,0.0,0,0,75.0,15.0,20385.0,3885.0,15.0,1
3,71.8,71.8,0.1333333333333333,0.1333333333333333,28242.93333333333,28242.93333333333,1,1,13.111853915196532,4,0.0,0,0,90.0,30.0,20415.0,3030.0,15.0,1
3,72.36666666666666,72.36666666666666,0.1333333333333333,0.1333333333333333,28475.6,28475.6,1,1,13.116351911561493,4,0.0,0,0,105.0,45.0,20445.0,3060.0,15.0,1
3,74.0,74.0,0.2666666666666666,0.2666666666666666,28885.33333333333,28885.33333333333,1,1,13.011411411411412,8,0.0,0,4,120.0,0.0,20475.0,6290.0,15.0,1
3,74.16666666666667,74.16666666666667,0.1666666666666666,0.1666666666666666,29244.366666666665,29244.366666666665,1,1,13.143535580524343,5,0.0,0,1,135.0,0.0,20505.0,3945.0,15.0,1
3,74.06666666666666,74.06666666666666,0.1333333333333333,0.1333333333333333,29179.966666666667,29179.966666666667,1,1,13.132298229822982,4,0.0,0,0,150.0,15.0,20535.0,15.0,15.0,1
3,76.03333333333333,76.03333333333333,0.1666666666666666,0.1666666666666666,30019.533333333333,30019.533333333333,1,1,13.16068975595499,5,0.0,1,0,0.0,30.0,13720.0,3180.0,15.0,0
3,76.03333333333333,76.03333333333333,0.1666666666666666,0.1666666666666666,30019.533333333333,30019.533333333333,1,1,13.16068975595499,5,0.0,0,0,15.0,45.0,13750.0,3210.0,30.0,0
3,76.03333333333333,76.03333333333333,0.1666666666666666,0.1666666666666666,30019.533333333333,30019.533333333333,1,1,13.16068975595499,5,0.0,0,0,30.0,60.0,13780.0,3240.0,45.0,0
3,75.4,75.4,0.1333333333333333,0.1333333333333333,29816.866666666665,29816.866666666665,1,1,13.181638667845563,4,0.25,0,0,45.0,75.0,45.0,3270.0,15.0,0
3,8.133333333333333,8.133333333333333,0.0666666666666666,0.0666666666666666,852.2666666666667,852.2666666666667,1,1,3.492896174863388,2,0.5,0,0,60.0,90.0,20685.0,1635.0,15.0,0
3,8.133333333333333,8.133333333333333,0.0666666666666666,0.0666666666666666,852.2666666666667,852.2666666666667,1,1,3.492896174863388,2,0.5,0,0,75.0,105.0,20715.0,0.0,30.0,0
3,9.333333333333334,9.333333333333334,0.1333333333333333,0.1333333333333333,1393.9,1393.9,1,1,4.9782142857142855,4,0.25,1,1,0.0,0.0,13840.0,30.0,15.0,0
3,8.833333333333334,8.833333333333334,0.1,0.1,1050.5333333333333,1050.5333333333333,1,1,3.964276729559749,3,0.0,0,0,15.0,15.0,13870.0,15.0,15.0,0
3,8.833333333333334,8.833333333333334,0.1,0.1,1050.5333333333333,1050.5333333333333,1,1,3.964276729559749,3,0.0,0,0,30.0,30.0,13900.0,0.0,30.0,0
3,8.833333333333334,8.833333333333334,0.1,0.1,1050.5333333333333,1050.5333333333333,1,1,3.964276729559749,3,0.0,0,0,45.0,45.0,13930.0,0.0,45.0,0
3,8.833333333333334,8.833333333333334,0.1,0.1,1050.5333333333333,1050.5333333333333,1,1,3.964276729559749,3,0.0,0,0,60.0,60.0,13960.0,0.0,60.0,0
3,8.833333333333334,8.833333333333334,0.1,0.1,1050.5333333333333,1050.5333333333333,1,1,3.964276729559749,3,0.0,0,0,75.0,75.0,13990.0,0.0,75.0,0
3,8.833333333333334,8.833333333333334,0.1,0.1,1050.5333333333333,1050.5333333333333,1,1,3.964276729559749,3,0.0,0,0,90.0,90.0,14020.0,0.0,90.0,0
3,8.833333333333334,8.833333333333334,0.1,0.1,1050.5333333333333,1050.5333333333333,1,1,3.964276729559749,3,0.0,0,0,105.0,105.0,14050.0,0.0,105.0,0
3,8.333333333333334,8.333333333333334,0.0666666666666666,0.0666666666666666,865.2666666666667,865.2666666666667,1,1,3.4610666666666665,2,0.0,0,0,120.0,120.0,120.0,0.0,15.0,0
3,8.333333333333334,8.333333333333334,0.0666666666666666,0.0666666666666666,865.2666666666667,865.2666666666667,1,1,3.4610666666666665,2,0.0,0,0,135.0,135.0,21015.0,0.0,30.0,0
3,8.333333333333334,8.333333333333334,0.0666666666666666,0.0666666666666666,865.2666666666667,865.2666666666667,1,1,3.4610666666666665,2,0.0,0,0,150.0,150.0,21045.0,0.0,45.0,0
3,8.333333333333334,8.333333333333334,0.0666666666666666,0.0666666666666666,865.2666666666667,865.2666666666667,1,1,3.4610666666666665,2,0.0,0,0,165.0,165.0,21075.0,0.0,60.0,0
3,8.333333333333334,8.333333333333334,0.0666666666666666,0.0666666666666666,865.2666666666667,865.2666666666667,1,1,3.4610666666666665,2,0.0,0,0,180.0,180.0,21105.0,0.0,75.0,0
3,8.333333333333334,8.333333333333334,0.0666666666666666,0.0666666666666666,865.2666666666667,865.2666666666667,1,1,3.4610666666666665,2,0.0,0,0,195.0,195.0,21135.0,0.0,90.0,0
3,8.333333333333334,8.333333333333334,0.0666666666666666,0.0666666666666666,865.2666666666667,865.2666666666667,1,1,3.4610666666666665,2,0.0,0,0,210.0,210.0,21165.0,0.0,105.0,0
3,8.333333333333334,8.333333333333334,0.0666666666666666,0.0666666666666666,865.2666666666667,865.2666666666667,1,1,3.4610666666666665,2,0.0,0,0,225.0,225.0,21195.0,0.0,120.0,0
3,8.333333333333334,8.333333333333334,0.0666666666666666,0.0666666666666666,865.2666666666667,865.2666666666667,1,1,3.4610666666666665,2,0.0,0,0,240.0,240.0,21225.0,0.0,135.0,0
3,8.333333333333334,8.333333333333334,0.0666666666666666,0.0666666666666666,865.2666666666667,865.2666666666667,1,1,3.4610666666666665,2,0.0,0,0,255.0,255.0,21255.0,0.0,150.0,0
3,8.333333333333334,8.333333333333334,0.0666666666666666,0.0666666666666666,865.2666666666667,865.2666666666667,1,1,3.4610666666666665,2,0.0,0,0,270.0,270.0,21285.0,0.0,165.0,0
3,8.333333333333334,8.333333333333334,0.0666666666666666,0.0666666666666666,865.2666666666667,865.2666666666667,1,1,3.4610666666666665,2,0.0,0,0,285.0,285.0,21315.0,0.0,180.0,0
3,8.333333333333334,8.333333333333334,0.0666666666666666,0.0666666666666666,865.2666666666667,865.2666666666667,1,1,3.4610666666666665,2,0.0,0,0,300.0,300.0,21345.0,0.0,195.0,0
3,8.433333333333334,8.433333333333334,0.0666666666666666,0.0666666666666666,871.2666666666667,871.2666666666667,1,1,3.443741765480896,2,0.0,0,0,315.0,315.0,21375.0,0.0,15.0,0
3,8.433333333333334,8.433333333333334,0.0666666666666666,0.0666666666666666,871.2666666666667,871.2666666666667,1,1,3.443741765480896,2,0.0,0,0,330.0,330.0,21405.0,0.0,30.0,0
3,8.433333333333334,8.433333333333334,0.0666666666666666,0.0666666666666666,871.2666666666667,871.2666666666667,1,1,3.443741765480896,2,0.0,0,0,345.0,345.0,21435.0,0.0,45.0,0
3,8.433333333333334,8.433333333333334,0.0666666666666666,0.0666666666666666,871.2666666666667,871.2666666666667,1,1,3.443741765480896,2,0.0,0,0,360.0,360.0,21465.0,0.0,60.0,0
3,8.433333333333334,8.433333333333334,0.0666666666666666,0.0666666666666666,871.2666666666667,871.2666666666667,1,1,3.443741765480896,2,0.0,0,0,375.0,375.0,21495.0,0.0,75.0,0
3,8.433333333333334,8.433333333333334,0.0666666666666666,0.0666666666666666,871.2666666666667,871.2666666666667,1,1,3.443741765480896,2,0.0,0,0,390.0,390.0,21525.0,0.0,90.0,0
3,8.433333333333334,8.433333333333334,0.0666666666666666,0.0666666666666666,871.2666666666667,871.2666666666667,1,1,3.443741765480896,2,0.0,0,0,405.0,405.0,21555.0,0.0,105.0,0
3,8.433333333333334,8.433333333333334,0.0666666666666666,0.0666666666666666,871.2666666666667,871.2666666666667,1,1,3.443741765480896,2,0.0,0,0,420.0,420.0,21585.0,0.0,120.0,0
3,8.433333333333334,8.433333333333334,0.0666666666666666,0.0666666666666666,871.2666666666667,871.2666666666667,1,1,3.443741765480896,2,0.0,0,0,435.0,435.0,21615.0,0.0,135.0,0
3,8.433333333333334,8.433333333333334,0.0666666666666666,0.0666666666666666,871.2666666666667,871.2666666666667,1,1,3.443741765480896,2,0.0,0,0,450.0,450.0,21645.0,0.0,150.0,0
3,8.433333333333334,8.433333333333334,0.0666666666666666,0.0666666666666666,871.2666666666667,871.2666666666667,1,1,3.443741765480896,2,0.0,0,0,465.0,465.0,21675.0,0.0,165.0,0
3,8.433333333333334,8.433333333333334,0.0666666666666666,0.0666666666666666,871.2666666666667,871.2666666666667,1,1,3.443741765480896,2,0.0,0,0,480.0,480.0,21705.0,0.0,180.0,0
3,8.433333333333334,8.433333333333334,0.0666666666666666,0.0666666666666666,871.2666666666667,871.2666666666667,1,1,3.443741765480896,2,0.0,0,0,495.0,495.0,21735.0,0.0,195.0,0
3,8.433333333333334,8.433333333333334,0.0666666666666666,0.0666666666666666,871.2666666666667,871.2666666666667,1,1,3.443741765480896,2,0.0,0,0,510.0,510.0,21765.0,0.0,210.0,0
3,8.433333333333334,8.433333333333334,0.0666666666666666,0.0666666666666666,871.2666666666667,871.2666666666667,1,1,3.443741765480896,2,0.0,0,0,525.0,525.0,21795.0,0.0,225.0,0
